|            JD |          Tempo |              BC |            432s |             430 |             423 |            405 |
| 2451733.82637 |  26899.3561003 |   26899.3563431 |   26899.3559257 |   26899.3559272 |   26899.3559144 |  26899.3559879 |
| 2451734.74701 |  26977.1381049 |   26977.1382218 |   26977.1379294 |   26977.1379308 |   26977.1379177 |  26977.1379911 |
| 2451735.66765 |  26961.4321789 |   26961.4322898 |   26961.4320141 |   26961.4320154 |   26961.4320021 |  26961.4320754 |
| 2451736.58829 |  26855.4531107 |   26855.4531287 |   26855.4529654 |   26855.4529666 |   26855.4529531 |  26855.4530264 |
| 2451737.50893 |   26681.634169 |   26681.6343849 |    26681.634039 |   26681.6340402 |   26681.6340265 |  26681.6340998 |
| 2451738.42957 |  26476.5159924 |   26476.5164001 |   26476.5158793 |   26476.5158804 |   26476.5158664 |  26476.5159397 |
| 2451739.35021 |   26282.407334 |   26282.4080865 |   26282.4072597 |   26282.4072607 |   26282.4072465 |  26282.4073196 |
| 2451740.27085 |   26137.724304 |   26137.7249126 |   26137.7242515 |   26137.7242524 |   26137.7242381 |  26137.7243111 |
| 2451741.19149 |  26068.2167331 |   26068.2172997 |    26068.216672 |   26068.2166729 |   26068.2166583 |  26068.2167314 |
| 2451742.11213 |  26081.0876238 |   26081.0884512 |   26081.0875376 |   26081.0875384 |   26081.0875236 |  26081.0875967 |
| 2451743.03277 |  26163.3501946 |   26163.3507612 |   26163.3500806 |   26163.3500812 |   26163.3500662 |  26163.3501394 |
| 2451743.95342 |  26284.7981399 |   26284.7987994 |   26284.7979989 |   26284.7979995 |   26284.7979843 |  26284.7980576 |
| 2451744.87406 |  26404.9101261 |   26404.9104679 |   26404.9099628 |   26404.9099634 |   26404.9099479 |  26404.9100214 |
|  2451745.7947 |  26482.1100627 |   26482.1101197 |    26482.109891 |   26482.1098914 |   26482.1098758 |  26482.1099494 |
| 2451746.71534 |  26483.2661074 |   26483.2665001 |   26483.2659354 |   26483.2659358 |   26483.2659198 |  26483.2659937 |
| 2451747.63598 |  26391.2565822 |   26391.2566722 |   26391.2564205 |   26391.2564208 |   26391.2564048 |  26391.2564788 |
| 2451748.55662 |  26208.8730737 |   26208.8732116 |   26208.8729286 |   26208.8729288 |   26208.8729125 |  26208.8729868 |
| 2451749.47726 |    25958.16827 |   25958.1688397 |   25958.1681349 |    25958.168135 |   25958.1681185 |   25958.168193 |
|  2451750.3979 |   25675.397761 |   25675.3979739 |   25675.3976502 |   25675.3976503 |   25675.3976337 |  25675.3977084 |
| 2451751.31854 |  25402.7129178 |   25402.7132476 |   25402.7128428 |   25402.7128428 |   25402.7128259 |  25402.7129007 |
| 2451752.23918 |  25178.5053694 |    25178.506017 |   25178.5053131 |   25178.5053131 |    25178.505296 |   25178.505371 |
| 2451753.15982 |  25028.6129028 |   25028.6136853 |   25028.6128472 |   25028.6128469 |   25028.6128298 |  25028.6129048 |
| 2451754.08046 |  24960.4000726 |   24960.4011728 |   24960.3999978 |   24960.3999975 |   24960.3999802 |  24960.4000553 |
|  2451755.0011 |  24961.0689845 |   24961.0694612 |   24961.0688808 |   24961.0688804 |   24961.0688628 |  24961.0689379 |
| 2451755.92175 |   25000.586688 |   25000.5871137 |   25000.5865589 |   25000.5865585 |   25000.5865408 |  25000.5866158 |
| 2451756.84239 |  25038.5577831 |    25038.557933 |    25038.557633 |   25038.5576326 |   25038.5576146 |  25038.5576894 |
| 2451757.76303 |  25033.4679937 |   25033.4682276 |   25033.4678331 |   25033.4678325 |   25033.4678146 |  25033.4678889 |
| 2451758.68367 |  24952.1843382 |     24952.18465 |   24952.1841753 |   24952.1841747 |   24952.1841565 |  24952.1842304 |
| 2451759.60431 |  24777.5416508 |   24777.5415249 |   24777.5414938 |   24777.5414931 |   24777.5414749 |  24777.5415482 |
| 2451760.52495 |  24512.2841928 |   24512.2845255 |   24512.2840459 |   24512.2840451 |   24512.2840267 |  24512.2840995 |
| 2451761.44559 |  24178.4628894 |    24178.463468 |   24178.4627445 |   24178.4627437 |   24178.4627252 |  24178.4627975 |
| 2451762.36623 |  23812.4248423 |    23812.425322 |    23812.424731 |   23812.4247302 |   23812.4247115 |  23812.4247832 |
| 2451763.28687 |  23456.5376509 |   23456.5385653 |   23456.5375837 |   23456.5375828 |    23456.537564 |   23456.537635 |
| 2451764.20751 |   23149.536986 |   23149.5377625 |   23149.5369424 |   23149.5369413 |   23149.5369225 |  23149.5369928 |
| 2451765.12815 |  22917.7018182 |   22917.7024957 |   22917.7017742 |   22917.7017731 |   22917.7017542 |   22917.701824 |
| 2451766.04879 |  22768.8735039 |   22768.8744422 |   22768.8734422 |   22768.8734412 |    22768.873422 |  22768.8734912 |
| 2451766.96943 |  22690.6858591 |   22690.6865875 |    22690.685775 |   22690.6857738 |   22690.6857546 |  22690.6858232 |
| 2451767.89008 |  22653.4111338 |   22653.4120542 |    22653.411025 |   22653.4110238 |   22653.4110045 |  22653.4110725 |
| 2451768.81072 |  22616.7717287 |   22616.7721934 |    22616.771597 |   22616.7715956 |   22616.7715762 |  22616.7716437 |
| 2451769.73136 |  22539.1608966 |   22539.1610585 |   22539.1607533 |   22539.1607519 |   22539.1607324 |  22539.1607994 |
|   2451770.652 |  22387.1648882 |   22387.1653739 |   22387.1647413 |   22387.1647399 |   22387.1647203 |  22387.1647868 |
| 2451771.57264 |  22143.2098638 |   22143.2101666 |    22143.209721 |   22143.2097195 |      22143.2097 |   22143.209766 |
| 2451772.49328 |   21809.585641 |   21809.5859918 |   21809.5855013 |   21809.5854997 |     21809.58548 |  21809.5855457 |
| 2451773.41392 |   21407.926383 |   21407.9269616 |   21407.9262565 |   21407.9262548 |    21407.926235 |  21407.9263004 |
| 2451774.33456 |  20974.2669901 |   20974.2674158 |   20974.2668965 |   20974.2668948 |    20974.266875 |  20974.2669399 |
