JD,Tempo,BCPy
2451822.207880685,2344.112892412804,2344.1120090233835
2451823.128521451,1746.18314256512,1746.1822899999731
2451824.049162217,1199.8233046103255,1199.8225335766415
2451824.969802983,732.4436638027986,732.4425587662746
2451825.890443749,353.3221671534776,353.3212561773896
2451826.811084515,51.5066227070808,51.505831399016486
2451827.7317252806,-201.6664861967214,-201.6670340788015
2451828.652366047,-446.00400984891195,-446.0046017387216
2451829.573006813,-723.3466535319617,-723.3471384812291
2451830.4936475786,-1067.9944368364188,-1067.9950488191762
2451831.414288345,-1498.8612629395786,-1498.8616736721847
2451832.3349291105,-2015.1439548692886,-2015.144586168231
2451833.2555698766,-2596.5028924515923,-2596.503899773016
2451834.176210643,-3207.7051049645697,-3207.7060006613438
2451835.0968514085,-3806.669672422928,-3806.6706540463642
2451836.0174921746,-4354.080169021879,-4354.081122179567
2451836.9381329403,-4822.358944371515,-4822.359913409161
2451837.8587737065,-5201.95640651678,-5201.957267835211
2451838.7794144726,-5503.512729418518,-5503.513567624112
2451839.7000552383,-5755.400061447128,-5755.4006211727865
2451840.6206960045,-5997.203205613728,-5997.203792502785
2451841.54133677,-6270.635047688394,-6270.635606502317
2451842.4619775363,-6609.9584869595255,-6609.959236228404
2451843.3826183025,-7034.111838704272,-7034.112417418474
2451844.303259068,-7542.332724706091,-7542.333463951149
2451845.2238998343,-8114.289043585872,-8114.290059491664
2451846.1445406005,-8714.681066837149,-8714.68200560943
2451847.065181366,-9301.265515873149,-9301.266445605856
2451847.9858221323,-9834.470754567514,-9834.47153850611
2451848.906462898,-10286.400950802958,-10286.40204397983
2451849.827103664,-10647.177862144426,-10647.178898131107
2451850.7477444303,-10927.16308041116,-10927.16384809395
2451851.668385196,-11154.560039771968,-11154.560704278705
2451852.589025962,-11368.940850025303,-11368.941397925464
2451853.509666728,-11612.176198697354,-11612.176517838157
2451854.430307494,-11918.842747863067,-11918.843508376587
2451855.35094826,-12308.30474293429,-12308.305243949644
2451856.271589026,-12780.269343640128,-12780.270070925202
2451857.192229792,-13314.847541854393,-13314.848473941107
2451858.1128705577,-13877.092359866328,-13877.093354075163
2451859.033511324,-14424.984041347916,-14424.985356694602
2451859.95415209,-14919.03503895934,-14919.036155790414
2451860.8747928557,-15331.311797698338,-15331.312692552687
2451861.795433622,-15651.817030542692,-15651.817724164539
2451862.7160743875,-15890.766420322343,-15890.767185322447
2451863.6367151537,-16076.243604139887,-16076.244090355907
2451864.55735592,-16247.765173228467,-16247.765880445399
2451865.4779966855,-16447.235316921466,-16447.23567726453
2451866.3986374517,-16709.344231695588,-16709.344878335443
2451867.319278218,-17053.619061190595,-17053.619483427246
2451868.2399189835,-17479.926610615323,-17479.927315281737
2451869.1605597497,-17968.47205764011,-17968.473214386453
2451870.0812005154,-18484.28349381339,-18484.28452450338
2451871.0018412815,-18985.162261657842,-18985.163330913154
2451871.9224820477,-19431.288305024707,-19431.289289961624
2451872.8431228134,-19794.278485152077,-19794.27967198798
2451873.7637635795,-20063.635683044213,-20063.63662446378
2451874.684404345,-20249.10770743355,-20249.108420190856
2451875.6050451114,-20378.424653174894,-20378.4253701323
2451876.5256858775,-20490.927717923838,-20490.928163449666
2451877.446326643,-20628.544870551526,-20628.54531947071
2451878.3669674094,-20826.181651455172,-20826.182337548995
2451879.287608175,-21103.719064302335,-21103.719564766023
2451880.208248941,-21461.447497061607,-21461.44797546792
2451881.1288897074,-21879.985343339893,-21879.986152825124
2451882.049530473,-22324.696462238586,-22324.69743028215
2451882.970171239,-22753.596161155558,-22753.59756762229
2451883.8908120054,-23126.944278632112,-23126.945406819857
2451884.811452771,-23416.32364646443,-23416.3246664653
2451885.732093537,-23611.140126821516,-23611.140998807386
2451886.652734303,-23721.048203043632,-23721.048799916392
2451887.573375069,-23773.751462336444,-23773.751945283795
2451888.494015835,-23808.67852483422,-23808.678971835823
2451889.414656601,-23867.975617311306,-23867.975694131354
2451890.335297367,-23986.87141146577,-23986.871866456935
2451891.2559381328,-24185.623057564302,-24185.623470030412
2451892.176578899,-24464.873391580815,-24464.87413939543
2451893.097219665,-24805.497348522298,-24805.49831172801
2451894.0178604308,-25172.96175720569,-25172.962701649736
2451894.938501197,-25525.20636233983,-25525.20749861867
2451895.8591419626,-25822.24216873003,-25822.243006149867
2451896.7797827288,-26035.26534785184,-26035.26666265605
2451897.700423495,-26153.21598332604,-26153.21692306452
2451898.6210642606,-26185.267400591587,-26185.268025970432
2451899.5417050268,-26158.69753252849,-26158.69814739761
2451900.4623457924,-26112.6202741507,-26112.620564777957
2451901.3829865586,-26089.012139722076,-26089.012379950706
2451902.3036273248,-26123.09183883732,-26123.09231041098
2451903.2242680904,-26235.246985444977,-26235.247380993736
2451904.1449088566,-26426.353141406194,-26426.353837843464
2451905.0655496228,-26677.561029803845,-26677.561690640185
2451905.9861903884,-26954.590944984328,-26954.591882071534
2451906.9068311546,-27215.56236922676,-27215.563565579254
2451907.8274719203,-27420.560913687546,-27420.562050213386
2451908.7481126864,-27540.75957288731,-27540.76033310488
2451909.6687534526,-27565.008288850564,-27565.00903413071
2451910.5893942183,-27502.387763138435,-27502.388385681083
2451911.5100349844,-27380.138724386896,-27380.1391492972
2451912.43067575,-27237.445308982802,-27237.44567787926
2451913.3513165163,-27116.49240493588,-27116.49255015401
2451914.2719572824,-27052.83911519141,-27052.839189758575
2451915.192598048,-27067.311952854387,-27067.312212325876
2451916.1132388143,-27161.266657365923,-27161.267316594392
2451917.03387958,-27316.300288816212,-27316.301100263612
2451917.954520346,-27498.474431281702,-27498.47531800519
2451918.8751611123,-27666.08419745509,-27666.08536783727
2451919.795801878,-27779.195906848112,-27779.197122323854
2451920.716442644,-27808.77379650119,-27808.775066021066
2451921.6370834103,-27743.317785754505,-27743.318567405375
2451922.557724176,-27591.48977509911,-27591.490397568414
2451923.478364942,-27380.133669886054,-27380.13428009906
2451924.399005708,-27148.13084010299,-27148.131058063806
2451925.319646474,-26937.496077514817,-26937.496375734085
2451926.24028724,-26783.756155448154,-26783.75639256901
2451927.160928006,-26707.80475850614,-26707.80497870689
2451928.081568772,-26711.106597690436,-26711.107134725167
2451929.0022095377,-26775.34679412786,-26775.347390894745
2451929.922850304,-26866.60390014797,-26866.60461507479
2451930.84349107,-26943.09804135595,-26943.09899831581
2451931.7641318357,-26964.738883712536,-26964.739976869798
2451932.684772602,-26902.29099048942,-26902.292130302358
2451933.6054133675,-26744.06247081422,-26744.063152180617
2451934.5260541337,-26498.58407796934,-26498.584717623904
2451935.4466949,-26192.672906866275,-26192.673136409918
2451936.3673356655,-25865.312754583898,-25865.312936894916
2451937.2879764317,-25558.76155956018,-25558.761496634717
2451938.2086171973,-25308.908409296833,-25308.908193258798
2451939.1292579635,-25137.091856421277,-25137.09208251839
2451940.0498987297,-25045.24808654011,-25045.248678395634
2451940.9705394953,-25015.49474035306,-25015.495406587277
2451941.8911802615,-25014.24967229574,-25014.250476298464
2451942.8118210277,-24999.942445982415,-24999.943205504118
2451943.7324617933,-24932.55114001273,-24932.552315497196
2451944.6531025595,-24782.788804320317,-24782.790026170223
2451945.573743325,-24538.828902246154,-24538.82960938253
2451946.4943840913,-24209.035028793878,-24209.035601550855
2451947.4150248575,-23820.07030546859,-23820.07064580645
2451948.335665623,-23410.812097030706,-23410.81230867355
2451949.2563063893,-23023.47339403497,-23023.473695262626
2451950.176947155,-22693.961283522272,-22693.961325347438
2451951.097587921,-22443.675415822974,-22443.67550285061
2451952.0182286873,-22274.62484709644,-22274.625150506214
2451952.938869453,-22168.969995428233,-22168.970419365785
2451953.859510219,-22093.09576206698,-22093.096469036132
2451954.780150985,-22005.288391844475,-22005.289192291093
2451955.700791751,-21865.26107873617,-21865.262121585998
2451956.621432517,-21643.35934510974,-21643.36021973878
2451957.542073283,-21327.337661368932,-21327.338321899584
2451958.462714049,-20925.164870798326,-20925.16538162738
2451959.3833548147,-20463.212888501002,-20463.213031960648
2451960.303995581,-19980.241737471395,-19980.241825729914
2451961.224636347,-19518.559292577214,-19518.559106037934
2451962.1452771127,-19114.369369438424,-19114.36922426838
2451963.065917879,-18789.521480952015,-18789.521579387634
2451963.986558645,-18546.542514790042,-18546.54260244917
2451964.9071994107,-18368.086818098112,-18368.087217096152
2451965.827840177,-18220.934472547127,-18220.935115827167
2451966.7484809426,-18063.617579765763,-18063.618260960786
2451967.6691217087,-17855.935164310205,-17855.936130423343
2451968.589762475,-17568.18248534462,-17568.18360845456
2451969.5104032406,-17187.980884435918,-17187.98169904859
2451970.4310440067,-16723.148816980058,-16723.149392456446
2451971.3516847724,-16199.95908369558,-16199.959356181393
2451972.2723255386,-15657.174711497348,-15657.174829477113
2451973.1929663047,-15137.228783573146,-15137.228933789918
2451974.1136070704,-14676.56052157475,-14676.560466233077
2451975.0342478366,-14297.313309956091,-14297.313270438768
2451975.9548886023,-14002.295799328811,-14002.295820904927
2451976.8755293684,-13774.354123067664,-13774.354410806596
2451977.7961701346,-13580.30563004401,-13580.30610608624
2451978.7168109003,-13378.534396362462,-13378.535141683446
2451979.6374516664,-13128.51634825552,-13128.517168353013
2451980.5580924326,-12800.091698909127,-12800.092480559872
2451981.4787331983,-12380.365238491288,-12380.366020120033
2451982.3993739644,-11876.656234978216,-11876.656771837594
2451983.32001473,-11314.82427015397,-11314.824425757291
2451984.2406554963,-10733.35901417436,-10733.359073309352
2451985.1612962624,-10174.587756466668,-10174.587696247469
2451986.081937028,-9675.00916752709,-9675.008922105997
2451987.0025777943,-9256.965544105438,-9256.965490613658
2451987.92321856,-8923.557600621789,-8923.557405519523
2451988.843859326,-8657.957512736519,-8657.95776582376
2451989.7645000922,-8427.286597887929,-8427.286980385037
2451990.685140858,-8190.158543224214,-8190.159177368324
2451991.605781624,-7906.174777094565,-7906.175663987252
2451992.52642239,-7545.194348645061,-7545.195095531837
2451993.447063156,-7094.260197861697,-7094.26085903773
2451994.367703922,-6560.601559049704,-6560.602133267584
2451995.288344688,-5970.022081714244,-5970.022275191037
2451996.208985454,-5361.042392580348,-5361.042635376032
2451997.1296262196,-4776.1401929473195,-4776.1401258002725
2451998.050266986,-4252.081397302192,-4252.081120484453
2451998.970907752,-3811.5607653897264,-3811.5605909942456
2451999.8915485176,-3458.056666185187,-3458.0567227455563
2452000.812189284,-3175.075690837925,-3175.075856489745
2452001.73283005,-2929.9585299173846,-2929.9587985523826
2452002.6534708156,-2681.376157912559,-2681.3768082821534
2452003.574111582,-2388.8022975813806,-2388.8030027826526
2452004.4947523475,-2021.7932616499913,-2021.794126756237
2452005.4153931136,-1566.961107398275,-1566.9619550970813
2452006.33603388,-1031.0423782142884,-1031.0429274074509
2452007.2566746455,-439.36556454896265,-439.3659776883159
2452008.1773154116,169.93079535831896,169.93055638071309
2452009.0979561773,754.6113494333742,754.6114090030105
2452010.0185969435,1277.9949225253476,1277.9951129460499
2452010.9392377096,1717.3363028167232,1717.3364177316698
2452011.8598784753,2069.022418585007,2069.0225309793927
2452012.7805192415,2349.3933168510325,2349.393236702792
2452013.701160007,2590.996085734554,2590.9957234726503
2452014.6218007733,2835.1303680877677,2835.1296608030802
2452015.5424415395,3122.387310244805,3122.386634205235
2452016.463082305,3483.3481382634045,3483.347339211944
2452017.3837230713,3931.5648173133036,3931.564021419703
2452018.304363837,4460.433306277032,4460.4327199344525
2452019.225004603,5044.671009931054,5044.67069579727
2452020.1456453693,5646.06138104049,5646.061493206553
2452021.066286135,6222.154524056515,6222.154420377563
2452021.986926901,6735.929733879966,6735.92999658297
2452022.9075676673,7164.222227156657,7164.222304697508
2452023.828208433,7502.973512521695,7502.973595353162
2452024.748849199,7768.121009728973,7768.120790072464
2452025.669489965,7991.91227525968,7991.912037153858
2452026.590130731,8215.4966270338,8215.496187513576
2452027.510771497,8479.480236983462,8479.479621577564
2452028.431412263,8814.610970804177,8814.609943591242
2452029.352053029,9234.718122674809,9234.717278345117
2452030.2726937947,9733.528133689813,9733.52753825791
2452031.193334561,10286.07748373455,10286.07709162126
2452032.113975327,10854.405900158941,10854.40579215917
2452033.0346160927,11396.226748390935,11396.226528368032
2452033.955256859,11874.588077733684,11874.588311212425
2452034.8758976245,12266.322232821261,12266.322403177242
2452035.7965383907,12567.339178126338,12567.339244712655
2452036.717179157,12793.564404660905,12793.564311227461
2452037.6378199225,12977.2986760716,12977.29841993157
2452038.5584606887,13159.834817930125,13159.834158776815
2452039.479101455,13382.016036073444,13382.015419109823
2452040.3997422205,13674.898008103333,13674.897237853866
2452041.3203829867,14052.640777225859,14052.640206293427
2452042.2410237524,14509.263555854115,14509.262896843764
2452043.1616645185,15019.994864926206,15019.99462424111
2452044.0823052847,15546.919670473964,15546.919622893245
2452045.0029460504,16047.623263589358,16047.622924954954
2452045.9235868165,16484.86191756787,16484.862031011515
2452046.844227582,16835.053735816797,16835.053795558062
2452047.7648683484,17093.636332809925,17093.636546327463
2452048.6855091145,17276.081634555747,17276.08166118559
2452049.60614988,17414.32404632554,17414.323413037113
2452050.5267906464,17549.42396160038,17549.42363130017
2452051.447431412,17722.149326318588,17722.148658749204
2452052.368072178,17963.615176988616,17963.614134642943
2452053.2887129444,18288.138573116416,18288.137786433166
2452054.20935371,18689.935711745446,18689.935195448783
2452055.129994476,19144.41511819938,19144.414564855815
2452056.050635242,19613.774798254264,19613.774540473656
2452056.971276008,20055.625669261364,20055.625291533557
2452057.891916774,20432.662139344542,20432.66236603426
2452058.81255754,20721.182421909216,20721.182632114647
2452059.733198306,20916.496212985254,20916.496417513754
2452060.653839072,21033.999075446267,21033.99891149516
2452061.574479838,21105.65535483629,21105.65530986982
2452062.495120604,21172.702307197018,21172.70184764413
2452063.4157613697,21276.229750639293,21276.22928631435
2452064.336402136,21447.800509674384,21447.799875125893
2452065.257042902,21702.241977511567,21702.24140000407
2452066.1776836677,22034.265212608883,22034.26456664431
2452067.098324434,22419.676879663846,22419.67649233097
2452068.0189651996,22820.912818803205,22820.91262086837
2452068.9396059657,23195.622743520224,23195.6222681846
2452069.860246732,23506.345091914554,23506.345070683125
2452070.7808874976,23729.066272249827,23729.066287725545
2452071.7015282637,23858.69513405617,23858.695392828657
2452072.6221690294,23910.215826023305,23910.21579474411
2452073.5428097956,23915.243717286612,23915.24316676821
2452074.4634505617,23914.779806445404,23914.77938701182
2452075.3840913274,23949.81908126021,23949.818493622268
2452076.3047320936,24051.95323625601,24051.95220378985
2452077.2253728597,24236.12333994629,24236.12251421764
2452078.1460136254,24497.178837985648,24497.17817686495
2452079.0666543916,24811.023482859106,24811.02290435613
2452079.9872951573,25140.094667618345,25140.094196559632
2452080.9079359234,25441.92286330647,25441.9223633839
2452081.8285766896,25678.81538902348,25678.81543716089
