|            JD |           Tempo |              BC |            432s |             430 |             423 |             405 |
| 2451681.34984 |   15978.8789463 |   15978.8783617 |   15978.8783421 |   15978.8783472 |   15978.8783512 |    15978.878387 |
| 2451682.27048 |   16365.5095845 |   16365.5093172 |   16365.5093012 |   16365.5093062 |   16365.5093098 |   16365.5093463 |
| 2451683.19113 |   16821.8238017 |   16821.8237224 |   16821.8237001 |    16821.823705 |   16821.8237083 |   16821.8237455 |
| 2451684.11177 |   17316.6025635 |   17316.6026074 |   17316.6025731 |   17316.6025781 |   17316.6025811 |   17316.6026191 |
| 2451685.03241 |   17808.9140004 |   17808.9141568 |   17808.9141142 |   17808.9141191 |   17808.9141218 |   17808.9141606 |
| 2451685.95305 |   18257.4652298 |   18257.4651179 |   18257.4650745 |   18257.4650794 |   18257.4650818 |   18257.4651213 |
| 2451686.87369 |   18630.0325019 |   18630.0326689 |   18630.0326355 |   18630.0326402 |   18630.0326424 |   18630.0326828 |
| 2451687.79433 |   18910.8204894 |   18910.8206599 |   18910.8206447 |   18910.8206494 |   18910.8206512 |   18910.8206925 |
| 2451688.71497 |   19104.0583346 |   19104.0585085 |   19104.0585136 |   19104.0585183 |   19104.0585199 |   19104.0585621 |
| 2451689.63561 |   19233.0201252 |   19233.0199424 |     19233.01995 |   19233.0199546 |   19233.0199558 |    19233.019999 |
| 2451690.55625 |   19334.6860764 |   19334.6856264 |   19334.6856076 |   19334.6856122 |    19334.685613 |   19334.6856573 |
| 2451691.47689 |   19451.2696852 |   19451.2693999 |   19451.2693591 |   19451.2693637 |   19451.2693643 |   19451.2694096 |
| 2451692.39753 |   19620.5450953 |   19620.5445758 |   19620.5445442 |   19620.5445488 |    19620.544549 |   19620.5445954 |
| 2451693.31817 |   19867.1817273 |   19867.1813297 |   19867.1813063 |   19867.1813107 |   19867.1813106 |   19867.1813581 |
| 2451694.23881 |   20197.0754796 |   20197.0749458 |   20197.0749226 |    20197.074927 |   20197.0749266 |   20197.0749751 |
| 2451695.15945 |   20595.9626647 |   20595.9621945 |   20595.9621651 |   20595.9621694 |   20595.9621686 |   20595.9622184 |
|  2451696.0801 |   21032.6440465 |   21032.6438355 |    21032.643796 |   21032.6438002 |   21032.6437993 |     21032.64385 |
| 2451697.00074 |   21466.0797132 |   21466.0795115 |   21466.0794635 |   21466.0794677 |   21466.0794663 |   21466.0795183 |
| 2451697.92138 |     21854.73619 |   21854.7363984 |   21854.7363497 |   21854.7363538 |   21854.7363522 |   21854.7364052 |
| 2451698.84202 |   22166.0564864 |   22166.0563706 |   22166.0563328 |   22166.0563369 |    22166.056335 |    22166.056389 |
| 2451699.76266 |   22383.8769175 |   22383.8768866 |   22383.8768679 |   22383.8768718 |   22383.8768695 |   22383.8769245 |
|  2451700.6833 |   22512.1066179 |   22512.1066934 |   22512.1066925 |   22512.1066964 |   22512.1066939 |   22512.1067497 |
| 2451701.60394 |   22573.8143625 |   22573.8142523 |   22573.8142514 |   22573.8142552 |   22573.8142524 |   22573.8143089 |
| 2451702.52458 |   22605.9380208 |    22605.937946 |   22605.9379234 |   22605.9379272 |    22605.937924 |   22605.9379812 |
| 2451703.44522 |   22650.8301486 |   22650.8301261 |   22650.8300836 |   22650.8300874 |   22650.8300839 |   22650.8301417 |
| 2451704.36586 |   22746.5708847 |   22746.5705214 |   22746.5704882 |    22746.570492 |   22746.5704881 |   22746.5705464 |
|  2451705.2865 |   22918.2647864 |   22918.2642374 |    22918.264211 |   22918.2642146 |   22918.2642105 |   22918.2642693 |
| 2451706.20714 |   23172.3124709 |    23172.311762 |   23172.3117345 |   23172.3117381 |   23172.3117337 |   23172.3117929 |
| 2451707.12778 |   23494.9585397 |   23494.9584677 |   23494.9584326 |    23494.958436 |   23494.9584314 |    23494.958491 |
| 2451708.04843 |   23855.4524589 |   23855.4525324 |   23855.4524871 |   23855.4524906 |   23855.4524855 |   23855.4525455 |
| 2451708.96907 |   24213.0874883 |   24213.0874944 |   24213.0874426 |    24213.087446 |   24213.0874407 |   24213.0875011 |
| 2451709.88971 |   24526.5185126 |   24526.5184064 |   24526.5183569 |   24526.5183602 |   24526.5183547 |   24526.5184155 |
| 2451710.81035 |   24763.2214016 |   24763.2214532 |   24763.2214161 |   24763.2214194 |   24763.2214135 |   24763.2214748 |
| 2451711.73099 |    24906.934564 |   24906.9345005 |   24906.9344833 |   24906.9344865 |   24906.9344804 |    24906.934542 |
| 2451712.65163 |   24961.3777258 |   24961.3777896 |   24961.3777887 |   24961.3777918 |   24961.3777854 |   24961.3778476 |
| 2451713.57227 |   24949.4045127 |   24949.4044133 |   24949.4044104 |   24949.4044135 |   24949.4044068 |   24949.4044694 |
| 2451714.49291 |   24907.7751551 |    24907.774915 |   24907.7748987 |   24907.7749016 |   24907.7748947 |   24907.7749578 |
| 2451715.41355 |    24878.751069 |   24878.7506306 |   24878.7506108 |   24878.7506138 |   24878.7506065 |   24878.7506702 |
| 2451716.33419 |   24900.4280634 |   24900.4274103 |   24900.4273896 |   24900.4273925 |   24900.4273849 |   24900.4274492 |
| 2451717.25483 |     24998.01982 |   24998.0194163 |   24998.0193886 |   24998.0193915 |   24998.0193835 |   24998.0194485 |
| 2451718.17547 |   25178.0858639 |   25178.0852095 |   25178.0851713 |   25178.0851739 |   25178.0851658 |   25178.0852315 |
